,,,,,,,,,,,,,,,,,,,
420,6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1 Brand,Model,Type,FL,Diam.,AFOV,Wt.,Eye Relief,Mfr's Field Stop ,Calc.FieldStop,Coatings,Edge black,Elem.,Mag.,Exit Pupil,TFOV,other currency, Price ,420,6.00
365 Astronomy,Andromeda Extra Flat,General Use,8,1.25,60,,?,?,8.4,FMC,?,?,53,1.3,1.14,46.5, $ 59.99 ,420,6.00
365 Astronomy,Andromeda Extra Flat,General Use,12,1.25,60,,?,?,12.6,FMC,?,?,35,2.0,1.71,49.2, $ 63.47 ,420,6.00
365 Astronomy,Andromeda Extra Flat,General Use,16,1.25,60,,?,?,16.8,FMC,?,?,26,2.7,2.29,48.2, $ 62.18 ,420,6.00
365 Astronomy,Andromeda Extra Flat,General Use,19,1.25,65,,?,?,21.6,FMC,?,?,22,3.2,2.94,49.9, $ 64.37 ,420,6.00
365 Astronomy,Columbus Ultra Wide Angle,UltraWideField,11,1.25,80,,9.0,?,15.4,FMC,?,5,38,1.8,2.10,42.5, $ 54.83 ,420,6.00
365 Astronomy,Columbus Ultra Wide Angle,UltraWideField,16,1.25,80,,9.0,?,22.3,FMC,?,5,26,2.7,3.05,47.5, $ 61.28 ,420,6.00
365 Astronomy,Lacerta,Planetary,3.2,1.25,58, ,16.0,?,,FMC,?,5,131,0.5,0.44,36.8, $ 47.47 ,420,6.00
365 Astronomy,Magellan Wide Angle,General Use,8,1.25,60,,9.0,13.0,8.4,FMC,?,?,53,1.3,1.77,29, $ 37.41 ,420,6.00
365 Astronomy,Magellan Wide Angle,General Use,12,1.25,60,,12.0,15.0,12.6,FMC,?,?,35,2.0,2.05,29, $ 37.41 ,420,6.00
365 Astronomy,Orthoscopic,Abbe orthoscopic,4.8,1.25,48,,4.2,?,4.0,FMC,?,4,88,0.8,0.55,39.6, $ 51.08 ,420,6.00
365 Astronomy,Orthoscopic,Abbe orthoscopic,10.5,1.25,48,,7.2,?,8.8,FMC,?,4,40,1.8,1.20,39.6, $ 51.08 ,420,6.00
Agena,Enhanced Wide Angle,Wide-Field,6,1.25,66,,14.8,?,6.9,FMC,Y,5,70,1.0,0.94,, $ 35.00 ,420,6.00
Agena,Enhanced Wide Angle,Wide-Field,9,1.25,66,,15.0,?,10.4,FMC,Y,6,47,1.5,1.41,, $ 35.00 ,420,6.00
Agena,Enhanced Wide Angle,Wide-Field,15,1.25,66,,13.0,?,17.3,FMC,Y,4,28,2.5,2.36,, $ 35.00 ,420,6.00
Agena,Enhanced Wide Angle,Wide-Field,20,1.25,66,,18.0,?,23.0,FMC,Y,5,21,3.3,3.14,, $ 35.00 ,420,6.00
Agena,Starguide Dual ED,General Use,3.2,1.25,60,,15.8,?,3.4,FMC,Y,5,131,0.5,0.46,, $ 60.00 ,420,6.00
Agena,Starguide Dual ED,General Use,5,1.25,60,,13.0,?,5.2,FMC,Y,5,84,0.8,0.71,, $ 60.00 ,420,6.00
Agena,Starguide Dual ED,General Use,8,1.25,60,,13.0,?,8.4,FMC,Y,5,53,1.3,1.14,, $ 60.00 ,420,6.00
Agena,Starguide Dual ED,General Use,12,1.25,60,,13.0,12.0,12.6,FMC,Y,6,35,2.0,1.64,, $ 60.00 ,420,6.00
Agena,Starguide Dual ED,General Use,15,1.25,60,,15.0,15.0,15.7,FMC,Y,6,28,2.5,2.05,, $ 60.00 ,420,6.00
Agena,Starguide Dual ED,General Use,18,1.25,60,,13.0,18.0,18.8,FMC,Y,5,23,3.0,2.46,, $ 60.00 ,420,6.00
Agena,Starguide Dual ED,General Use,25,1.25,60,,15.0,?,26.2,FMC,Y,5,17,4.2,3.57,, $ 60.00 ,420,6.00
Agena,Super Wide Angle SWA,Wide-Field,10,1.25,70,,10.0,12.4,12.2,FMC,Y,5,42,1.7,1.69,, $ 45.00 ,420,6.00
Agena,Super Wide Angle SWA,Wide-Field,15,1.25,70,,13.0,18.8,18.3,FMC,Y,5,28,2.5,2.56,, $ 45.00 ,420,6.00
Agena,Super Wide Angle SWA,Wide-Field,20,1.25,70,,16.0,25.0,24.4,FMC,Y,5,21,3.3,3.41,, $ 47.00 ,420,6.00
Agena,Super Wide Angle SWA,Wide-Field,26,2.00,70,,20.0,32.3,31.8,FMC,Y,5,16,4.3,4.41,, $ 85.00 ,420,6.00
Agena,Super Wide Angle SWA,Wide-Field,32,2.00,70,,24.0,40.0,39.1,FMC,Y,5,13,5.3,5.46,, $ 90.00 ,420,6.00
Agena,Super Wide Angle SWA,Wide-Field,38,2.00,70,,28.0,45.7,46.4,FMC,Y,5,11,6.3,6.23,, $ 95.00 ,420,6.00
Agena,Wide Angle,Wide-Field,8,1.25,60,,9.0,?,8.4,FMC,Y,4,53,1.3,1.14,, $ 31.00 ,420,6.00
Agena,Wide Angle,Wide-Field,12,1.25,60,,10.0,?,12.6,FMC,Y,4,35,2.0,1.71,, $ 31.00 ,420,6.00
Agena,Wide Angle,Wide-Field,17,1.25,65,,16.0,?,19.3,FMC,Y,4,25,2.8,2.63,, $ 33.00 ,420,6.00
Agena,Wide Angle,Wide-Field,20,1.25,65,,20.0,?,22.7,FMC,Y,4,21,3.3,3.10,, $ 33.00 ,420,6.00
Agena,Zoom,Zoom,7-21,1.25,30-43,,33-16,?, ,FC,?,?,N/A,N/A,N/A,, $ 45.00 ,420,6.00
Agena,Zoom,Zoom,8-24,1.25,40-60,,18-15,?, ,FMC,Y,?,N/A,N/A,N/A,, $ 60.00 ,420,6.00
Altair Astro (UK),Lightwave Hyperwide Premium,HyperWideField,20,2.00,100,,14.5,?,34.9,FMC,Y,9,21,3.3,4.76,299.99, $ 389.99 ,420,6.00
Altair Astro (UK),Lightwave LER,General Use,3,1.25,55,,20.0,?,2.9,FMC,Y,7,140,0.5,0.39,55, $ 71.50 ,420,6.00
Altair Astro (UK),Lightwave LER,General Use,5,1.25,55,,20.0,?,4.8,FMC,Y,7,84,0.8,0.65,55, $ 71.50 ,420,6.00
Altair Astro (UK),Lightwave LER,General Use,6,1.25,55,,20.0,?,5.8,FMC,Y,7,70,1.0,0.79,55, $ 71.50 ,420,6.00
Altair Astro (UK),Lightwave LER,General Use,9,1.25,55,,20.0,?,8.6,FMC,Y,7,47,1.5,1.18,55, $ 71.50 ,420,6.00
Altair Astro (UK),Lightwave LER,General Use,12.5,1.25,55,,20.0,?,12.0,FMC,Y,7,34,2.1,1.64,55, $ 71.50 ,420,6.00
Altair Astro (UK),Lightwave LER Premium,Wide-Field,7,1.25,68,,20.0,?,8.3,FMC,Y,8,60,1.2,1.13,149, $ 193.70 ,420,6.00
Altair Astro (UK),Lightwave LER Premium,Wide-Field,9,1.25,68,,20.0,?,10.7,FMC,Y,8,47,1.5,1.46,149, $ 193.70 ,420,6.00
Altair Astro (UK),Lightwave LER Premium,Wide-Field,12,1.25,68,,20.0,?,14.2,FMC,Y,8,35,2.0,1.94,149, $ 193.70 ,420,6.00
Altair Astro (UK),Lightwave LER Premium,Wide-Field,14.5,1.25,68,,20.0,?,17.2,FMC,Y,8,29,2.4,2.35,149, $ 193.70 ,420,6.00
Altair Astro (UK),Lightwave LER Premium,Wide-Field,18,1.25,68,,20.0,?,21.4,FMC,Y,8,23,3.0,2.91,149, $ 193.70 ,420,6.00
Altair Astro (UK),Lightwave Zoom Premium,Zoom,8-24,1.25,40-60,,18.0,?, ,FMC,Y,9,N/A,N/A,N/A,149, $ 193.70 ,420,6.00
Altair Astro (UK),UltraFlat,Wide-Field,10,1.25,60,80,16.0,14.7,10.5,FMC,Y,5,42,1.7,2.01,65, $ 84.50 ,420,6.00
Altair Astro (UK),UltraFlat,Wide-Field,15,1.25,60,136,16.0,19.6,15.7,FMC,Y,8,28,2.5,2.67,89, $ 115.70 ,420,6.00
Altair Astro (UK),UltraFlat,Wide-Field,18,1.25,65,206,20.0,23.4,20.4,FMC,Y,8,23,3.0,3.19,99, $ 128.70 ,420,6.00
Altair Astro (UK),UltraFlat,Wide-Field,24,1.25,65,331,29.0,27.3,27.2,FMC,Y,8,18,4.0,3.72,135, $ 175.50 ,420,6.00
Altair Astro (UK),UltraFlat,Wide-Field,30,2.00,70,671,22.0,38.0,36.7,FMC,Y,9,14,5.0,5.18,169, $ 219.70 ,420,6.00
Andrews (AUS),ED ,Planetary,18,1.25,55,,20.0,?,17.3,FMC,Y,6,23,3.0,2.36,69, $ 46.23 ,420,6.00
Andrews (AUS),ED ,Planetary,21,1.25,55,,20.0,?,20.2,FMC,Y,6,20,3.5,2.75,69, $ 46.23 ,420,6.00
Andrews (AUS),ED ,Planetary,25,1.25,55,,20.0,?,24.0,FMC,Y,6,17,4.2,3.27,69, $ 46.23 ,420,6.00
Andrews (AUS),Series 500,Plossl,10,1.25,50,,7.0,?,8.7,?,?,4,42,1.7,1.19,19, $ 12.73 ,420,6.00
Andrews (AUS),Series 500,Plossl,15,1.25,50,,10.5,?,13.1,?,?,4,28,2.5,1.79,19, $ 12.73 ,420,6.00
Angeleyes,"private label, various Chinese clones",,,,,,,?,,,,?,N/A,N/A,N/A,,,420,6.00
Antares,Plossl,plossl,6,1.25,50,,4.2,5.0,5.2,FMC,Y,4,70,1.0,0.68,, $ 39.99 ,420,6.00
Antares,Plossl,plossl,7.5,1.25,52,,5.3,5.8,6.8,FMC,Y,4,56,1.3,0.79,, $ 30.00 ,420,6.00
Antares,Plossl,plossl,10,1.25,52,,7.0,8.0,9.1,FMC,Y,4,42,1.7,1.09,, $ 30.00 ,420,6.00
Antares,Plossl,plossl,12.5,1.25,52,,8.8,10.2,11.3,FMC,Y,4,34,2.1,1.39,, $ 30.00 ,420,6.00
Antares,Plossl,plossl,17,1.25,52,,11.9,17.1,15.4,FMC,Y,4,25,2.8,2.33,, $ 30.00 ,420,6.00
Antares,Plossl,plossl,20,1.25,52,,14.0,17.4,18.2,FMC,Y,4,21,3.3,2.37,22.99, $ 30.12 ,420,6.00
Antares,Plossl,plossl,25,1.25,52,,17.5,24.1,22.7,FMC,Y,4,17,4.2,3.29,, $ 36.00 ,420,6.00
Antares,Plossl,plossl,32,1.25,50,,22.4,27.0,27.9,FMC,Y,4,13,5.3,3.68,, $ 36.00 ,420,6.00
Antares,Plossl,plossl,40,1.25,40,,28.0,27.0,27.9,FMC,Y,4,11,6.7,3.68,36.99, $ 48.46 ,420,6.00
Antares,SWA (Speers Waler 3),UltraWideField,9.5,1.25,80,,11.3,?,13.3,FMC,Y,8,44,1.6,1.81,, $ 140.00 ,420,6.00
Antares,SWA (Speers Waler 3),UltraWideField,13,1.25,80,,14.6,?,18.2,FMC,Y,8,32,2.2,2.48,, $ 140.00 ,420,6.00
Antares,SWA (Speers Waler 3),UltraWideField,17,1.25,80,,9.0,?,23.7,FMC,Y,7,25,2.8,3.24,, $ 140.00 ,420,6.00
Antares,SWA (Speers Waler 4),UltraWideField,6.1,1.25,86,,12.0,?,9.2,FMC,Y,8,69,1.0,1.25,, $ 200.00 ,420,6.00
Antares,SWA (Speers Waler 4),UltraWideField,9.1,1.25,86,,10.0,?,13.7,FMC,Y,8,46,1.5,1.86,, $ 200.00 ,420,6.00
Antares,SWA (Speers Waler 4),UltraWideField,14,1.25,86,,10.0,?,21.0,FMC,Y,8,30,2.3,2.87,, $ 200.00 ,420,6.00
Antares,SWA (Speers Waler 4),UltraWideField,25,2.00,76,,10.0,?,33.2,FMC,Y,8,17,4.2,4.52,269.99, $ 202.49 ,420,6.00
Antares,SWA (Speers Waler II),UltraWideField,9.4,1.25,80,,12.0,?,13.1,FMC,Y,8,45,1.6,1.79,, $ 90.00 ,420,6.00
Antares,SWA (Speers Waler II),UltraWideField,13.4,1.25,80,,10.0,?,18.7,FMC,Y,8,31,2.2,2.55,, $ 90.00 ,420,6.00
Antares,SWA (Speers Waler II),UltraWideField,17,1.25,80,,9.0,?,23.7,FMC,Y,8,25,2.8,3.24,134.99, $ 176.84 ,420,6.00
Antares,SWA (Speers Waler II),UltraWideField,31.5,2.00,90,,10.0,?,49.5,FMC,Y,6,13,5.3,6.75,154.99, $ 116.24 ,420,6.00
Antares,W70,Wide-Field,4.3,1.25,66,,12.0,?,5.0,FMC,Y,6,98,0.7,0.68,, $ 55.00 ,420,6.00
Antares,W70,Wide-Field,6,1.25,70,,12.0,?,7.3,FMC,Y,6,70,1.0,1.00,, $ 55.00 ,420,6.00
Antares,W70,Wide-Field,7,1.25,68,,12.0,?,8.3,FMC,Y,6,60,1.2,1.13,, $ 55.00 ,420,6.00
Antares,W70,Wide-Field,9.7,1.25,70,,15.0,?,11.9,FMC,Y,8,43,1.6,1.62,, $ 55.00 ,420,6.00
Antares,W70,Wide-Field,10,1.25,70,,11.0,?,12.2,FMC,Y,6,42,1.7,1.67,, $ 55.00 ,420,6.00
Antares,W70,Wide-Field,14,1.25,69,,15.0,?,16.9,FMC,Y,8,30,2.3,2.30,, $ 55.00 ,420,6.00
Antares,W70,Wide-Field,15,1.25,70,,10.0,?,18.3,FMC,Y,4,28,2.5,2.50,, $ 35.00 ,420,6.00
Antares,W70,Wide-Field,19,1.25,66,,16.0,?,21.9,FMC,Y,8,22,3.2,2.99,, $ 55.00 ,420,6.00
Antares,W70,Wide-Field,25,1.25,65,,11.0,?,28.4,FMC,Y,8,17,4.2,3.87,, $ 35.00 ,420,6.00
Antares,W70,Wide-Field,32,2.00,71,,14.0,?,39.7,FMC,Y,7,13,5.3,5.41,109.99, $ 82.49 ,420,6.00
Antares,XWA HDC,HyperWideField,20,2.00,100,,15.0,?,34.9,FMC,Y,9,21,3.3,4.76,, $ 369.00 ,420,6.00
Apertura,Plossl,Plossl,4,1.25,52,,2.9,?,,FMC,?,4,105,0.7,0.50,, $ 29.95 ,420,6.00
Apertura,Plossl,Plossl,6,1.25,52,,4.3,?,,FMC,?,4,70,1.0,0.74,, $ 29.95 ,420,6.00
Apertura,Plossl,Plossl,9,1.25,52,,6.5,?,,FMC,?,4,47,1.5,1.11,, $ 29.95 ,420,6.00
Apertura,Plossl,Plossl,15,1.25,52,,10.8,?,,FMC,?,4,28,2.5,1.86,, $ 29.95 ,420,6.00
Apertura,Plossl,Plossl,20,1.25,52,,14.4,?,,FMC,?,4,21,3.3,2.48,, $ 29.95 ,420,6.00
Apertura,Plossl,Plossl,25,1.25,52,,18.0,?,,FMC,?,4,17,4.2,3.10,, $ 29.95 ,420,6.00
Apertura,Plossl,Plossl,32,1.25,52,,23.0,?,,FMC,?,4,13,5.3,3.96,, $ 42.95 ,420,6.00
Apertura,Plossl,Plossl,40,1.25,52,,28.8,?,,FMC,?,4,11,6.7,4.95,, $ 34.95 ,420,6.00
Apertura,Super Wide Angle,Wide-Field,10,1.25,70,,10.0,?,,FMC,Y,5,42,1.7,1.67,, $ 59.95 ,420,6.00
Apertura,Super Wide Angle,Wide-Field,15,1.25,70,,13.0,?,,FMC,Y,5,28,2.5,2.50,, $ 59.95 ,420,6.00
Apertura,Super Wide Angle,Wide-Field,20,1.25,70,,16.0,?,,FMC,Y,5,21,3.3,3.33,, $ 69.95 ,420,6.00
Apertura,Super Wide Angle,Wide-Field,26,2.00,70,,20.0,?,,FMC,Y,5,16,4.3,4.33,, $ 99.95 ,420,6.00
Apertura,Super Wide Angle,Wide-Field,32,2.00,70,,24.0,?,,FMC,Y,5,13,5.3,5.33,, $ 109.95 ,420,6.00
Apertura,Super Wide Angle,Wide-Field,38,2.00,70,,28.0,?,,FMC,Y,5,11,6.3,6.33,, $ 109.95 ,420,6.00
